Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,40.099998,40.419998,39.669998,40.270000,40.270000,1991700
2017-01-08,40.009998,40.970001,39.910000,40.840000,40.840000,460200
2017-01-15,40.990002,41.180000,40.360001,40.470001,40.470001,312500
2017-01-22,40.570000,41.020000,40.049999,40.200001,40.200001,345900
2017-01-29,40.049999,40.520000,39.860001,40.349998,40.349998,452300
2017-02-05,40.419998,40.730000,40.049999,40.660000,40.660000,326600
2017-02-12,40.470001,40.599998,40.099998,40.209999,40.209999,223300
2017-02-19,40.439999,40.520000,40.090000,40.099998,40.099998,203300
2017-02-26,40.000000,40.400002,39.740002,39.980000,39.980000,187000
2017-03-05,40.060001,40.060001,38.209999,38.630001,38.630001,239800
2017-03-12,38.849998,39.130001,38.430000,39.060001,39.060001,201800
2017-03-19,39.040001,39.349998,38.939999,39.150002,39.150002,503600
2017-03-26,38.919998,39.480000,38.770000,39.160000,39.160000,586900
2017-04-02,39.169998,39.369999,38.599998,39.049999,39.049999,297400
2017-04-09,39.000000,39.330002,38.799999,39.270000,39.270000,253800
2017-04-16,39.520000,39.520000,38.720001,38.779999,38.779999,200600
2017-04-23,38.570000,38.889999,38.119999,38.840000,38.840000,624000
2017-04-30,38.840000,39.110001,38.279999,38.360001,38.360001,313500
2017-05-07,38.270000,38.669998,38.180000,38.590000,38.590000,190900
2017-05-14,38.810001,39.110001,38.500000,39.060001,39.060001,323200
2017-05-21,39.080002,39.279999,38.590000,38.599998,38.599998,315300
2017-05-28,38.369999,38.570000,38.090000,38.250000,38.250000,625200
2017-06-04,38.130001,38.180000,37.520000,37.880001,37.880001,514600
2017-06-11,37.930000,37.930000,37.139999,37.389999,37.389999,546100
2017-06-18,37.410000,37.500000,36.980000,37.209999,37.209999,168500
2017-06-25,37.230000,38.490002,37.160000,38.490002,38.490002,342900
2017-07-02,38.380001,38.560001,37.919998,37.970001,37.970001,363000
2017-07-09,37.919998,38.790001,37.830002,38.500000,38.500000,408000
2017-07-16,38.590000,38.910000,38.360001,38.619999,38.619999,144000
